ゆるキャン△(DVD/Blu-ray特典映像),ゆるキャン△ 映像特典
ゆるキャン△(へやキャン△ DVD/Blu-ray映像特典),へやキャン△ SPECIAL EPISODE「サウナとごはんと三輪バイク」
鬼滅の刃(総集編1),鬼滅の刃 兄妹の絆
鬼滅の刃(総集編3),鬼滅の刃 柱合会議・蝶屋敷編
鬼滅の刃(総集編2),鬼滅の刃 那田蜘蛛山編
鬼滅の刃(特別編集版),鬼滅の刃 竈門炭治郎 立志編 特別編集版
PUI PUI モルカー(劇場版),とびだせ！ならせ！PUI PUI モルカー
ダンジョンに出会いを求めるのは間違っているだろうか(OVA),ダンジョンに出会いを求めるのは間違っているだろうか III OVA「オラリオに温泉を求めるのは間違っているだろうか 〜おふろの神様フォーエバー〜」
やはり俺の青春ラブコメはまちがっている。(OVA),やはり俺の青春ラブコメはまちがっている。完 OVA
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜(OVA),かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜 OVA 「かぐや様ダークネスvolume 1／かぐや様ダークネスvolume 2／かぐや様は食べさせたい」
この素晴らしい世界に祝福を！(OVA),この素晴らしい世界に祝福を！2 OVA「この素晴らしい芸術に祝福を！」
HELLO WORLD(スピンオフ),ANOTHER WORLD
あそびあそばせ(OVA),あそびあそばせ OVA「コスプレ大会／大人の私へ」
あそびあそばせ(OVA),あそびあそばせ 新作アニメ
ヲタクに恋は難しい(OVA),ヲタクに恋は難しい OAD「Youth」
ヲタクに恋は難しい(OVA),ヲタクに恋は難しい OAD 第2話「トモダチの距離」
ヲタクに恋は難しい(OVA),ヲタクに恋は難しい 11巻特装版付属​OAD「社員旅行と願い事」
ソードアート・オンライン(4期),ソードアート・オンライン アリシゼーション War of Underworld
ソードアート・オンライン(4期2部),ソードアート・オンライン アリシゼーション War of Underworld ‐THE LAST SEASON‐
ソードアート・オンライン(),劇場版 ソードアート・オンライン プログレッシブ 星なき夜のアリア
暗殺教室(OVA),暗殺教室「修学旅行編」
暗殺教室(Web),暗殺教室 課外授業編
暗殺教室(Web),殺せんせーＱ！
ラブライブ！サンシャイン!!(2期),ラブライブ！サンシャイン!! (第2期)
ラブライブ！サンシャイン!!(劇場版),劇場版 ラブライブ！サンシャイン!! The School Idol Movie Over the Rainbow
ラブライブ！ School Idol Project(スーパースター!!),ラブライブ！スーパースター!!
ラブライブ！ School Idol Project(虹ヶ咲学園 2期),ラブライブ！虹ヶ咲学園スクールアイドル同好会 (第2期)
